"","companyName","company_starRating","company_offeredRole","company_roleLocation","company_salary","listing_jobDesc","salary","role","location","R","Python","SQL"
"11","TBD Solutions LLC",NA,"Data Scientist Consultant","Grand Rapids, MI","Employer est.:$78.75 Per Hour","Dental insurance Employee assistance program Flexible schedule Health insurance Life insurance Paid time off Retirement plan Vision insurance 8 hour shift Monday to Friday Overtime What percentage of your time would you hope includes coding and/or working with data? What about TBD Solutions and this position is specifically appealing to you? How does this position fit into your career development? Bachelor's (Required) Analysis of Healthcare Data: 2 years (Preferred) R or Python: 2 years (Preferred) Reporting writing: 2 years (Preferred) SQL: 3 years (Required)",76.5,"Data Scientist","MI",1,1,1
"12","UTHealth Houston",4,"Research Data Scientist & Administrator III - Hybrid","Houston, TX","Employer est.:$103K - $154K ","100% paid medical premiums for our full-time employees Generous time off (holidays, preventative leave day, both vacation and sick time – all of which equates to around 37-38 days per year) The longer you stay, the more vacation you’ll accrue! Longevity Pay (Monthly payments after two years of service) Build your future with our awesome retirement/pension plan! Free financial and legal counseling Free mental health counseling services Gym membership discounts and access to wellness programs Other employee discounts including entertainment, car rentals, cell phones, etc. Resources for child and elder care Plus many more! Supports faculty and clinical, business and research customers with data science services on a variety of projects which may include targeted research projects, clinical analyses, hospital quality/safety assessment, health economics, , practice management, population health, and translational research. Manages multiple projects with a variety of internal and/or external team members that may or may not report directly to the position. Develops strong relationships with internal and external project sponsors or research projects. Builds models that incorporate diverse data sets representing administrative, clinical and social health indicators when applicable. Applies a variety of methods such as statistical analysis, data mining, predictive analytics, time series analysis, multivariate regression analysis, statistical process control and optimization solutions. Performs as a results-oriented problem solver to quickly synthesize complex scenarios, connect abstract patterns/information, apply appropriate methods, and implement practical and timely solutions.Demonstrates and embraces a collaborative approach to fully realize the talents of colleagues such as data stewards, IT staff, business analysts, business stakeholders and industry experts. Drafts, writes and edits research results to be submitted to peer reviewed publications and/or delivered at professional conferences.Trains and mentors researchers to develop and complete projects that contribute to the improvement of public health and health policy. Assesses the impact of computer networking and data warehousing on data use and analysis when applicable. Performs other duties as assigned. Proficiency with statistical packages, data bases and programming languages for data preparation, storage, transformation, analysis or visualization. Examples include R, SAS, STATA, SPSS, Matlab, SQL, Python, Hadoop, Pig, Hive, MapReduce, Java Tableau, Excel or other big data frameworks. Ability to work with a wide variety of data formats/sources such as relational databases, XML, JSON, CSV, text, sensors/activity trackers, clickstreams, social media, and geolocation Effective communication skills including written, oral, listening and interpersonal. PhD degree in health care, management, mathematics, engineering, informatics, or a related field 5 years of enterprise experience as a data scientist, informaticist, statistician, senior analyst or related role",128.5,"Data Scientist","TX",1,1,1
"13","Allegheny Health Network",3.7,"Data Analyst Senior","Pennsylvania","Employer est.:$23.78 Per Hour","Collects & maintains data for reporting. Designs and maintains weekly and monthly quality scorecards. Creates and maintains data/reporting logs to support System groups. (20%)
 Understands, utilizes and educates staff on quality software for analysis, including RL Solutions, EPSI, and Cognos. (15%)
 Creates and supports innovative reporting for professional/publishable views of WPAHS quality measures. (15%)
 Responsible for submission of all quality reporting. (10%)
 Responsible for data assurance for and producing quality reporting to analyze core measures. (15%)
 Responds to all ad hoc project requests related to clinical, operational and statistical reporting. (10%)
 Supports team with interfacing of disparate systems to a centralized report writer and clinical data base warehouse to create System wide quality reporting for AHN. (15%)
 Performs other duties as assigned or required.
 Bachelor's degree in Business, Health Information Management, or a Clinical degree with experience in data development and analysis.
 Master’s degree.
 BSN degree.
 5-7 years’ data/business analysis experience. Prefer experience with EPIC or other EMR.
 Experience in clinical pathways or performance improvement.
 Required to obtain EPIC certifications Clarity, Caboodle and Cogito within 6 months of employment .
",50.5,"Data Analyst","ia",1,0,0
"14","Boston Children's Hospital",4,"Natural Language Processing Research Assistant II","Boston, MA","$42K - $54K (Glassdoor est.)","
Use machine learning approaches (e.g., natural language processing) to process clinical notes. Develop algorithms to pre-process the clinical data for development of machine learning pipelines. Develop machine learning pipelines to assist risk and outcomes prediction. 
Development of patient selection and text extraction pipelines, and development and fine tuning of negation and new entity recognition algorithms. Conduct literature searches and reviews, compiling information for journals and suggesting uses for new techniques to the P.I. Attends courses, lectures and conferences to further own knowledge of research and laboratory techniques, consulting with other researchers and technicians to exchange information. 
Assist in the process of data collection and analysis using varied instrumentation and software; provide proper documentation and organization to ensure integrity and organization of collected data. 
Apply basic statistical knowledge; understand, interpret, and describe complex data by preparing graphs and tables. 
Participate in the preparation, review, and submission of manuscripts and abstracts for publication. 
Bachelor's degree 
Experience in NLP feature engineering and modeling (e.g., text classification, entity recognition, entity extraction, question answering) 
Experience with SoTA modeling techniques (such as transformers, BERT, etc) 
Experience taking an NLP project from concept to production 
Building deep neural networks with modern tools, such as PyTorch or Tensorflow 
Expertise with Python 
One Journal publication or peer-reviewed conference paper or projects with public code repositories 
Research experience and practical knowledge of research principles is required whether through previous internship, work experience, or coursework. Experience with healthcare datasets is a plus 
Excellent critical thinking skills are required. 
Work requires the ability to communicate effectively both orally and in writing. LI",48,"Machine Learning","MA",1,1,0
"15","Priority Plus Financial LLC",NA,"Data Scientist","Costa Mesa, CA","Employer est.:$106K - $114K ","Use an ensemble of decision trees, Naive Bayes, KNN and SVM to create a unifying model. Use Dirichlet multinomial distribution to initialise the model. Perform cross-validation to check the robustness of the proposed model. Learn multi-layered perceptron using radial basis function in order to compute the posterior probability. Use Support vector machine to make predictions. 401(k) Dental insurance Employee discount Flexible spending account Health insurance Health savings account Life insurance Paid time off Vision insurance 8 hour shift Monday to Friday Bonus pay Costa Mesa, CA: Reliably commute or planning to relocate before starting work (Required) Python: 1 year (Preferred) SQL: 1 year (Preferred)",110,"Data Scientist","CA",1,1,1
"16","Inland Empire Health Plans",3.8,"Data Scientist (Telecommute CA. Resident)","Rancho Cucamonga, CA","Employer est.:$126K - $160K ","Dental insurance Employee assistance program Flexible spending account Health insurance Health savings account Life insurance Paid time off Parental leave Professional development assistance Referral program Retirement plan Tuition reimbursement Vision insurance 8 hour shift Bonus pay Rancho Cucamonga, CA 91730: Reliably commute or planning to relocate before starting work (Required) Master's (Required) Python: 4 years (Required) SAS: 4 years (Preferred) HC Domain Knowledge: 4 years (Preferred) Data Science Projects: 4 years (Preferred)",143,"Data Scientist","CA",1,1,0
"17","Slim Chickens",3.7,"Senior Data Analyst - Finance","Fayetteville, AR","$64K - $91K (Glassdoor est.)","401(k) 401(k) matching Dental insurance Employee discount Health insurance Paid time off Vision insurance Monday to Friday High school or equivalent (Preferred) Finance/Data Analytics: 3 years (Preferred)",77.5,"Data Analyst","AR",0,0,0
"18","Lockheed Martin",4.1,"Artificial Intelligence / Machine Learning Engineer","Moorestown, NJ","$88K - $130K (Glassdoor est.)","Apply AI / ML based concepts to develop, implement, and test revolutionary radar control algorithms to combat evolving threats Develop models and detailed simulations to assess system performance. Implement radar target track filtering and smoothing algorithms that meet customer requirements.
 Develop the surrounding engineering talent in AI / ML techniques, tools, and applications Perform functional analysis, design trade studies, requirements allocation, and interface definition to translate customer requirements into hardware and software specifications Represent the organization on contracts and interface with internal and external customers, government lab partners, program and senior leadership, and multidisciplinary engineering teams on significant technical matters",109,"Machine Learning","NJ",1,0,0
"19","The Brite Group",3.2,"Senior Data Architect","Reston, VA","Employer est.:$100K ","10+ years of experience in one or more of the disciplines associated with data analytics. 5+ years of experience with working closely with business and IT groups to coordinate current and future plans and activities, including coordination and technical assistance to facilitate specific data analytics. 5+ years of experience possessing and applying comprehensive knowledge across multiple fields, key task components, and high-impact assignments. 5+ years of experience developing plans and leading major consulting assignments that include data analytics with machine learning and artificial intelligence. 2+ years of in-depth knowledge of at least one analytical/statistical language (Closure, Scala, Python, R)"" 401(k) Dental insurance Health insurance Paid time off 8 hour shift Are you a US Citizen? Data architecture: 10 years (Required) AWS Cloud: 2 years (Required) Machine learning: 5 years (Required) Python: 2 years (Required) high impact assignments: 5 years (Required)",100,"Data Engineer","VA",1,1,0
"20","Slim Chickens",3.7,"Senior Data Analyst - Finance","Fayetteville, AR","$64K - $91K (Glassdoor est.)","401(k) 401(k) matching Dental insurance Employee discount Health insurance Paid time off Vision insurance Monday to Friday High school or equivalent (Preferred) Finance/Data Analytics: 3 years (Preferred)",77.5,"Data Analyst","AR",0,0,0
"21","MEDSTAR HEALTH",3.7,"Data Scientist - Quality and Safety - REMOTE","Washington, DC","$82K - $134K (Glassdoor est.)","
Master's degree in data science, information science, statistics, mathematics, computer science other quantitative study required
 
Related experience Required
 
Familiarity with common data science toolkits, such as R, SAS, Python, SQL, etc., to manipulate data and draw insights from large healthcare data sets, required. 
Proficiency with data visualization tools, such as Tableau or Business Objects, to convey insights to disparate audiences, required. 
Ability to communicate effectively, both oral and written, and favorable interpersonal skills are necessary to interact with a wide range of technical and non-technical associates, required. 
Contributes to the achievement of established department goals and objectives and adheres to department policies, procedures, quality standards, and safety standards. Complies with governmental and accreditation regulations. 
Data Sources: Learns, understands and becomes proficient in relevant MedStar and external data sources and systems including but not limited to electronic health record data, CRISP and Vizient databases. Utilizes appropriate data sources, definitions, and integration for analysis as appropriate. Understands the limits of use for each data source as well as the differences between similar elements in different data sets. 
Presentation of Data: Develops written and graphic presentations of information for MedStar associates. Using creative and adaptive thinking skills, designs and creates a wide range of polished, engaging, innovative and relevant reports, briefs, presentations and visualizations that present large amounts of information in ways that are universally understandable, easy to interpret, and communicate compelling stories to diverse audiences to inform decision-making and support quality and safety related improvement projects. 
Participates in multidisciplinary quality and safety improvement teams as appropriate. Participates in meetings, serves on committees and represents the department as appropriate. 
Supports other members of the department by providing ad hoc technical assistance. Uses software analysis tools such as SAS, R, Python, SQL and data visualization tools to report, analyze and interpret healthcare data; provides data support and responds to ad-hoc requests for customized data queries, reports and analyses. 
Participates in the discovery of innovative approaches towards MedStar Health's quality and safety mission, and the development and implementation of new data-driven tactics. 
Participates in meetings and on committees and represents the department and hospital in community outreach efforts. 
Participates in multi-disciplinary quality and service improvement teams. 
Performs other duties as assigned.",108,"Data Scientist","DC",1,1,1
"22","Bloomberg Industry Group",3.6,"Data Scientist","Washington, DC","Employer est.:$110K - $130K ","Proactively explore, research, describe, and analyze data. Develop tools and strategies related to text analytics, machine learning, and semantic enrichment Develop and maintain strong working relationships across departments and with key partners and stakeholders. Be tuned in to market trends and emerging technologies to find innovative solutions. Learn cutting-edge research in advanced ML & NLP topics and devise an efficient application for projects. Take ownership of technical solutions and direct machine learning strategy for the team. Drive, design, and develop projects as the principal point-of-contact, with the ability to determine suitable ML models, direct feature engineering processes and negotiate KPIs per business needs. Participates in special projects and performs other duties as assigned. Bachelor’s degree in related field or equivalent experience. 5 years of experience working with large data sets and managing data projects. Experience with programming in Java, Python, SQL. Experience with distributed computational frameworks (YARN, Spark, Hadoop, Kubernetes, Docker), cloud-based computingApache Solr, Lucene, or Elasticsearch). Experience with managing diverse data sources, including preprocessing, cleansing, and verifying the integrity of data. Experience with working with state, federal legislative or regulatory data is a plus. Familiarity with SQL and NoSQL data modeling and exploratory data visualization, preferred. Knowledge of advanced concepts such as weakly supervised learning, reinforcement learning, and deep learning, preferred. Extensive knowledge of leading open source data analysis tools, ML libraries, and NLP processing techniques (including topic modeling and summarization). Knowledge of descriptive and inferential statistics, regression, multivariate and univariate hypothesis testing. Excellent understanding of ML algorithms (e.g. KNN, Naive Bayes, decision trees, ensemble models, clustering) and the ability to select best methods for a business problem. Ability to analyze and manipulate unstructured and semi-structured data (text, PDF, JSON and XML files). Experience working with REST APIs (actual REST API development is a big plus) 401(k) 401(k) matching Dental insurance Employee assistance program Employee discount Flexible spending account Health insurance Life insurance Paid time off Parental leave Professional development assistance Referral program Tuition reimbursement Vision insurance 5x8 8 hour shift Monday to Friday Bonus pay Washington, DC 20005: Reliably commute or planning to relocate before starting work (Required) Python: 5 years (Preferred) SQL: 5 years (Preferred)",120,"Data Scientist","DC",1,1,1
